,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
236,332,0,0,1,4,0,0,0,2,25,5,2097152,0,0,0,1
237,34404,0,0,0,5,0,0,110592,9,0,6,1048576,33088,964,0,1
238,34404,0,0,0,4,0,0,37772,2,27,11,2097152,0,5000,0,1
239,332,0,0,1,4,0,0,0,2,25,5,2097152,0,0,0,1
240,332,0,0,1,4,0,0,0,2,25,5,2097152,0,0,0,1
241,34404,0,0,0,4,0,0,42324,2,27,11,2097152,0,5008,0,1
242,332,28,35832,0,4,0,0,8192,6,0,3,1048576,0,8928,0,1
243,332,28,76212,0,4,0,0,8192,11,0,3,1048576,34112,1344,0,1
244,34404,0,0,0,4,0,0,58788,2,25,9,2097152,0,0,0,1
245,332,0,0,0,4,0,0,8192,11,0,3,1048576,34144,13720,0,1
246,34404,0,0,0,4,0,0,38180,2,27,11,2097152,0,4984,0,1
247,34404,56,223136,0,6,330960,163,221184,12,0,5,1048576,33056,436,0,1
248,34404,0,0,0,4,0,0,42336,2,27,11,2097152,0,4992,0,1
249,332,28,37316,0,4,0,0,8192,8,0,3,1048576,34112,2000,0,1
250,332,28,26020,0,4,0,0,8192,8,0,3,1048576,34112,2048,0,1
251,332,0,0,1,4,0,0,24872,2,22,8,2097152,0,23860,0,1
252,332,28,152304,0,5,0,0,151552,9,0,4,1048576,32768,5104,0,1
253,34404,56,23024,10,10,0,0,20480,12,10,7,524288,49504,28400,0,1
254,332,0,0,1,4,0,0,0,2,25,5,2097152,0,0,0,1
255,332,0,0,0,4,0,0,8192,8,0,3,1048576,1024,744,0,1
256,332,28,37168,4,4,0,0,36864,5,12,4,1048576,0,5952,0,1
257,332,28,4880,6,6,48064,178,4096,10,10,4,262144,33088,5540,0,1
258,34404,0,0,0,4,0,0,157752,2,25,9,2097152,0,0,0,1
259,34404,0,0,0,4,0,0,345768,2,25,9,2097152,0,0,0,1
